REPOSITORY;TAG;IMAGE_ID;CREATED;SIZE
monicaproject/hldfad_worker;02.06.01.08-alpine;517
monicaproject/monica-cop-examples;crowdwt;1670
monicaproject/example-databases;CrowdCOPExample2;598
monicaproject/monica-cop-examples;crowd;1700
gostmqttemul_web;latest;535
monicaproject/servicecatalogemulator;00.00.00.04-alpine;535
monicaproject/copupdater;WristBand0.2;355
hldfad_worker_os;latest;510
antoniodefina1980/django-celery-unofficial;alpine-00.00.02.00;510
osgeo/gdal;alpine-normal-latest;191
pycharm_helpers;PY-193.6015.41;34.8
monicaproject/servicecatalogemulator;00.00.00.03-alpine;536
monicaproject/hldfad_worker;02.06.01.05-alpine;512
antoniodefina1980/django-celery-unofficial;alpine-00.00.00.01;510
monicaproject/wb_mqtt_emulator;latest;1010
monicaproject/hldfad_worker_os;02.06.01.00;1430
portainer/portainer;latest;78.6
monicaproject/scral;wristband_mqtt;125
geodan/gost;latest;15.9
rabbitmq;latest;151
monicaproject/copapi;0.1;271
redis;latest;98.2
busybox;latest;1.22
nodered/node-red-docker;slim-v8;119
mdillon/postgis;latest;713
geodan/gost-db;latest;144
toke/mosquitto;latest;175
geodan/gost-dashboard;latest;18.2
